itemid,ManCode,productname,UKSize,Barcode,Available Physical
32EA8C05-14-M,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Navy,M,,10
32EA8C05-14-L,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Navy,L,,20
32EA8C05-14-XL,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Navy,XL,,0
32EA8C05-14-XXL,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Navy,XXL,,13
32EA8C05-14-3XL,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Navy,3XL,,0
32EA8C06-05-XS,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Grey,XS,,0
32EA8C06-05-S,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Grey,S,,0
32EA8C06-05-M,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Grey,M,,0
32EA8C06-05-L,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Grey,L,,0
32EA8C06-05-XL,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Grey,XL,,0
32EA8C06-05-XXL,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Grey,XXL,,0
32EA8C06-05-3XL,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Grey,3XL,,0
32EA8C06-14-XS,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Navy,XS,,20
32EA8C06-14-S,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Navy,S,,20
32EA8C06-14-M,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Navy,M,,20
32EA8C06-14-L,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Navy,L,,20
32EA8C06-14-XL,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Navy,XL,,20
32EA8C06-14-XXL,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Navy,XXL,,20
32EA8C06-14-3XL,32EA8C06,Mizuno - Shizuoka Ft Polo W(w) - Navy,3XL,,0
32ED8C01-09-XS,32ED8C01,Mizuno - Shizuoka T Pant W(w) - Black,XS,,2
32ED8C01-09-S,32ED8C01,Mizuno - Shizuoka T Pant W(w) - Black,S,,7
32ED8C01-09-M,32ED8C01,Mizuno - Shizuoka T Pant W(w) - Black,M,,17
32ED8C01-09-L,32ED8C01,Mizuno - Shizuoka T Pant W(w) - Black,L,,1
32ED8C01-09-XL,32ED8C01,Mizuno - Shizuoka T Pant W(w) - Black,XL,,8
32ED8C01-09-XXL,32ED8C01,Mizuno - Shizuoka T Pant W(w) - Black,XXL,,0
32ED8C01-09-3XL,32ED8C01,Mizuno - Shizuoka T Pant W(w) - Black,3XL,,0
32EDA701-09-XS,32EDA701,Mizuno - Nara Track Pant W(w) - Black,XS,,20
32EDA701-09-S,32EDA701,Mizuno - Nara Track Pant W(w) - Black,S,,20
32EDA701-09-M,32EDA701,Mizuno - Nara Track Pant W(w) - Black,M,,20
32EDA701-09-L,32EDA701,Mizuno - Nara Track Pant W(w) - Black,L,,20
32EDA701-09-XL,32EDA701,Mizuno - Nara Track Pant W(w) - Black,XL,,20
32EDA701-09-XXL,32EDA701,Mizuno - Nara Track Pant W(w) - Black,XXL,,20
32EDA701-09-3XL,32EDA701,Mizuno - Nara Track Pant W(w) - Black,3XL,,0
32EA8B05-09-Y6,32EA8B05,Mizuno - Shizuoka Ft Tee Jr(c) - Black,Y6,,0
32EA8B05-09-Y8,32EA8B05,Mizuno - Shizuoka Ft Tee Jr(c) - Black,Y8,,0
32EA8B05-09-Y10,32EA8B05,Mizuno - Shizuoka Ft Tee Jr(c) - Black,Y10,,0
32EA8B05-09-Y12,32EA8B05,Mizuno - Shizuoka Ft Tee Jr(c) - Black,Y12,,0
32EA8B05-09-YXS,32EA8B05,Mizuno - Shizuoka Ft Tee Jr(c) - Black,YXS,,0
33EY0W12-09-NS,33EY0W12,Mizuno - Ryoko Stick Bag(u) - Black,NS,,20
33EY0W13-09-NS,33EY0W13,Mizuno - Ryoko Stick Backpack(u) - Black,NS,,6
33EY0W14-09-NS,33EY0W14,Mizuno - Ryoko Stick Holdall(u) - Black,NS,,20
33EY7W93-09-NS,33EY7W93,Mizuno - Back Pack(u) - 09,NS,,20
33EY8W08-09-NS,33EY8W08,Mizuno - Holdall Large(u) - 09,NS,,20
33EY8W09-09-NS,33EY8W09,Mizuno - Holdall Medium(u) - 09,NS,,20
33GD8016-14-NS,33GD8016,Mizuno - Trolley Bag(u) - Navy,NS,,13
33EY0W03-09-NS,33EY0W03,Mizuno - Ryoko Backpack(u) - 09,NS,,20
32FW9A01-01-NS,32FW9A01,Mizuno - Zunari Team Cap (pack Of 6) - White,NS,,0
32FW9A01-14-NS,32FW9A01,Mizuno - Zunari Team Cap (pack Of 6) - Navy,NS,,20
32FW9A02-01-NS,32FW9A02,Mizuno - Tatami Drylite Cap (pack Of 6) - White,NS,,20
32FW9A02-14-NS,32FW9A02,Mizuno - Tatami Drylite Cap (pack Of 6) - Navy,NS,,20
32FW9A03-01-NS,32FW9A03,Mizuno - Tatami Drylite Visor (pack Of 6) - White,NS,,20
32FW9A03-14-NS,32FW9A03,Mizuno - Tatami Drylite Visor (pack Of 6) - Navy,NS,,12
32FW9A04-09-NS,32FW9A04,Mizuno - Jingasa Bobble Hat (pack Of 6) - Black,NS,,20
