Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-takeshi-gym-shorts-m-black,Mizuno - Takeshi Gym Shorts(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb1a05, colour-09, color-black, vat-standard",FALSE,Size,XS,32EB1A05-09-XS,28,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EB1A0509.jpg,1,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,S,32EB1A05-09-S,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,M,32EB1A05-09-M,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,L,32EB1A05-09-L,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,XL,32EB1A05-09-XL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,XXL,32EB1A05-09-XXL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,3XL,32EB1A05-09-3XL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,4XL,32EB1A05-09-4XL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-01,Mizuno - Takeshi Gym Shorts(m) - 01,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb1a06, colour-01, vat-standard",FALSE,Size,XS,32EB1A06-01-XS,,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EB4A0301.jpg,1,
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,S,32EB1A06-01-S,,,TRUE,draft,,,
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,M,32EB1A06-01-M,,,TRUE,draft,,,
